camera_1_1,camera_1_2
200,20,17,3,
17,10,13,8,
32,7,8,1,
Normal Kappa,0.05531914893617002
Intra Kappa,0.010752688172043088
Inter Kappa,-0.07142857142857156
camera_1_2,camera_1_3
196,21,18,5,
21,9,10,8,
36,4,7,1,
Normal Kappa,0.11397198031048869
Intra Kappa,0.14606741573033694
Inter Kappa,0.029411764705882255
camera_1_3,camera_1_1
198,16,22,4,
19,12,8,9,
37,6,2,3,
Normal Kappa,0.0880000000000003
Intra Kappa,0.1351351351351351
Inter Kappa,0.3402061855670104
camera_2_1,camera_2_2
195,15,26,4,
22,10,6,10,
24,13,5,6,
Normal Kappa,0.07344632768361643
Intra Kappa,0.29411764705882343
Inter Kappa,0.15459882583170267
camera_2_2,camera_2_3
212,9,17,2,
16,12,7,13,
26,3,9,10,
Normal Kappa,0.07991742848717305
Intra Kappa,0.21379310344827576
Inter Kappa,0.4472168905950096
camera_2_3,camera_2_1
203,26,7,4,
18,5,14,11,
29,6,8,5,
Normal Kappa,0.13725490196078424
Intra Kappa,0.2191780821917808
Inter Kappa,0.2240184757505775
