Category,TV,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14,topic 15
,remot,plasma,lg,3d,sound,stand,samsung,game,app,cabl,smart,wrong,set,decid,app,remot
,set,set,3d,movi,stand,clean,servic,app,cabl,hdmi,connect,month,screen,app,amazon,ship
,control,lg,solid,watch,hum,wall,call,1080p,watch,smart,built,set,big,good,smart,day
,plasma,samsung,vizio,sound,speaker,samsung,custom,rate,kindl,fantast,netflix,turn,great,easi,samsung,order
,expect,best,model,glass,system,base,game,pc,mention,audio,year,buy,bright,love,stream,deliveri
,time,panason,soni,great,qualiti,mount,support,monitor,download,connect,work,year,color,great,video,amazon
,button,feet,qualiti,requir,good,size,troubl,vibrant,work,input,samsung,problem,black,price,final,morn
Answer 1:,expect,feet,solid,watch,hum,clean,game,vibrant,mention,fantast,work,,,,,
Answer 2:,,,,requir,,,,,work,,,,set,decid,final,morn
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14,topic 15
,smart,smart,sound,app,return,set,good,great,stand,light,screen,amazon,bar,samsung,cabl,cabl
,buy,watch,work,speaker,video,3d,movi,good,button,proper,set,hdmi,cabl,year,servic,samsung
,plasma,work,watch,great,samsung,good,frame,remot,channel,samsung,amazon,ship,samsung,month,call,sound
,purchas,regular,kindl,good,set,game,set,qualiti,work,screen,point,day,input,search,custom,awesom
,price,app,compat,sleek,work,xbox,great,bit,control,set,watch,order,sound,servic,nice,channel
,samsung,netflix,great,set,app,bright,watch,sound,remot,qualiti,black,deliveri,hdmi,warranti,support,great
,base,connect,app,sound,smart,color,3d,price,help,stand,light,tax,audio,problem,samsung,hd
Answer 1:,base,netflix,kindl,set,return,set,set,bit,help,proper,amazon,hdmi,bar,search,nice,great
Answer 2:,,connect,,,,,watch,,stand,,point,,,problem,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14,topic 15
,remot,remot,game,good,samsung,samsung,review,set,box,hdmi,app,stand,screen,samsung,samsung,view
,qualiti,button,set,mention,good,plasma,purchas,samsung,call,cabl,work,scratch,turn,set,app,smart
,speaker,control,movi,great,price,love,set,adjust,servic,app,watch,screw,defect,great,year,netflix
,good,set,person,return,builtin,review,buy,screen,hdmi,input,stand,screen,3d,price,product,samsung
,color,game,amazon,set,sound,lcd,amazon,channel,custom,connect,guid,call,power,qualiti,purchas,sound
,sound,easi,watch,ship,qualiti,room,price,color,samsung,audio,great,deliveri,time,3d,buy,app
,ip,big,great,amazon,great,ln52a550,issu,read,problem,basic,kindl,box,watch,point,extra,work
Answer 1:,ip,easi,person,set,none,room,set,read,box,basic,guid,stand,watch,point,extra,app
Answer 2:,,,amazon,mention,,in52,,,,app,app,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14,topic 15
,samsung,great,great,cabl,3d,honest,samsung,great,smart,servic,busi,remot,set,app,samsung,smart
,good,hdmi,cabl,hd,samsung,great,rang,samsung,sound,speaker,remot,screen,screen,annoy,control,set
,defect,work,set,3d,money,good,great,price,samsung,audio,call,control,color,samsung,year,great
,hdmi,monitor,proper,true,movi,price,good,order,work,set,amazon,initi,app,kindl,month,beauti
,work,advertis,screen,channel,set,lg,buy,sound,netflix,terribl,custom,set,excel,great,stand,screw
,great,set,good,good,watch,samsung,price,qualiti,app,hdmi,servic,work,watch,work,problem,samsung
,set,good,work,great,great,purchas,qualiti,good,real,sound,samsung,button,black,watch,work,stand
Answer 1:,,set,proper,TRUE,money,honest,rang,samsung,real,servic,samsung,initi,excel,annoy,stand,set
Answer 2:,set,advertis,set,,set,,,,,,remot,set,set,kindl,work,
