Category,Tablet,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14
,crash,screen,issu,laptop,ipad,ipad,portabl,three,camera,product,usb,screen,video,return,deal
,system,issu,updat,typic,qualiti,time,screen,screen,usag,purchas,cloud,lock,flash,order,charg
,os,sound,laptop,app,great,mini,review,camera,front,usb,screen,video,googl,batteri,life
,screen,button,today,type,nice,air,flash,tf300,price,brought,port,time,return,item,hour
,upgrad,feel,review,good,stay,iphon,asus,crack,product,recommend,memori,nice,archo,ship,thing
,android,speaker,crash,read,price,appl,time,asus,pictur,buy,card,touch,watch,amazon,batteri
,oper,load,problem,comput,good,storag,best,case,face,disappoint,sd,respons,support,dead,charger
Answer 1:,screen,feel,today,good,ipad,time,best,three,product,disappoint,cloud,nice,googl,batteri,deal
Answer 2:,,,,,stay,storag,review,,usag,,,,,dead,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14
,batteri,screen,materi,android,android,price,screen,app,kindl,read,pen,direct,model,card,ipad
,life,play,great,laptop,speaker,great,app,samsung,read,pen,set,love,samsung,sd,card
,app,open,good,devic,good,good,ipad,kindl,hdx,app,app,devic,card,ipad,android
,great,game,ipad,video,price,screen,read,pen,amazon,kindl,review,android,bought,usb,thrive
,screen,watch,size,web,qualiti,expect,interact,tap,abil,game,color,easi,purchas,box,screen
,keyboard,video,screen,ipad,sound,product,view,screen,love,book,stylus,app,love,storag,devic
,replac,app,nice,reader,size,die,button,android,fire,better,write,set,galaxi,memori,appl
Answer 1:,app,screen,ipad,reader,android,expect,interact,pen,love,better,color,love,purchas,box,thrive
Answer 2:,,,,,,die,,,,,,,card,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14
,good,android,android,app,kindl,kindl,buy,knew,product,ipad,card,ipad,screen,batteri,bought
,keyboard,dock,app,ipad,good,fire,problem,ship,custom,product,ipad,screen,time,flight,amazon
,screen,batteri,ipad,improv,bad,buy,return,day,ipad,card,memori,android,touch,life,ipad
,camera,amaz,samsung,devic,minor,love,appl,product,servic,review,load,problem,batteri,hour,crash
,complet,laptop,galaxi,price,qualiti,amazon,wast,amazon,case,spec,slot,bad,slow,app,devic
,buy,screen,updat,samsung,time,hdx,money,return,support,samsung,storag,system,app,charg,review
,nice,keyboard,allow,galaxi,price,watch,ipad,repair,asus,appl,sd,appl,proper,day,app
Answer 1:,good,amaz,allow,improv,time,amazon,ipad,knew,case,spec,ipad,bad,slow,app,amazon
Answer 2:,nice,,,,,,appl,,,,,,,,review
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14
,card,expens,android,android,screen,screen,kindl,great,android,feel,ipad,issu,screen,ipad,batteri
,ipad,price,play,great,bought,kindl,model,cost,bought,ipad,camera,great,good,verizon,life
,screen,game,app,stuff,christma,good,hdx,price,updat,good,screen,good,great,batteri,softwar
,great,great,great,money,product,product,love,good,good,love,android,usb,fast,great,card
,compar,better,review,product,niec,gorilla,great,android,program,kid,keyboard,screen,ipad,wifi,charg
,processor,ipad,watch,good,time,ipad,fire,product,great,great,app,keyboard,batteri,product,good
,sd,appl,game,screen,money,great,read,time,app,bought,devic,window,built,good,hour
Answer 1:,great,ipad,android,money,christma,gorilla,hdx,product,program,kid,app,issu,built,verizon,softwar
Answer 2:,,appl,review,,,,model,time,,,,,,,
